#;;;
#;Cross section name aliases for RFM6 / English language setting;;
#;;;
#;;;
#;;;
#;;;
#;;;
#;name;alias;visible name
#;;;
EU;IPE80;IPE 80;
EU;IPE100;IPE 100;
EU;IPE120;IPE 120;
EU;IPE140;IPE 140;
EU;IPE160;IPE 160;
EU;IPE180;IPE 180;
EU;IPE200;IPE 200;
EU;IPE220;IPE 220;
EU;IPE240;IPE 240;
EU;IPE270;IPE 270;
EU;IPE300;IPE 300;
EU;IPE330;IPE 330;
EU;IPE360;IPE 360;
EU;IPE400;IPE 400;
EU;IPE450;IPE 450;
EU;IPE500;IPE 500;
EU;IPE550;IPE 550;
EU;IPE600;IPE 600;
#;;;
#;;;
#;;;
#;;;
#;;;
#;;;
#;;;
#;name;;
#;;;
EU;HEAA100;HEAA 100;
EU;HEAA120;HEAA 120;
EU;HEAA140;HEAA 140;
EU;HEAA160;HEAA 160;
EU;HEAA180;HEAA 180;
EU;HEAA200;HEAA 200;
EU;HEAA220;HEAA 220;
EU;HEAA240;HEAA 240;
EU;HEAA260;HEAA 260;
EU;HEAA280;HEAA 280;
EU;HEAA300;HEAA 300;
EU;HEAA320;HEAA 320;
EU;HEAA340;HEAA 340;
EU;HEAA360;HEAA 360;
EU;HEAA400;HEAA 400;
EU;HEAA450;HEAA 450;
EU;HEAA500;HEAA 500;
EU;HEAA550;HEAA 550;
EU;HEAA600;HEAA 600;
EU;HEAA650;HEAA 650;
EU;HEAA700;HEAA 700;
EU;HEAA800;HEAA 800;
EU;HEAA900;HEAA 900;
EU;HEAA1000;HEAA 1000;
#;;;
#;;;
#;;;
#;;;
#;;;
#;;;
#;;;
#;name;;
#;;;
EU;HEA100;HE 100A;
EU;HEA120;HE 120A;
EU;HEA140;HE 140A;
EU;HEA160;HE 160A;
EU;HEA180;HE 180A;
EU;HEA200;HE 200A;
EU;HEA220;HE 220A;
EU;HEA240;HE 240A;
EU;HEA260;HE 260A;
EU;HEA280;HE 280A;
EU;HEA300;HE 300A;
EU;HEA320;HE 320A;
EU;HEA340;HE 340A;
EU;HEA360;HE 360A;
EU;HEA400;HE 400A;
EU;HEA450;HE 450A;
EU;HEA500;HE 500A;
EU;HEA550;HE 550A;
EU;HEA600;HE 600A;
EU;HEA650;HE 650A;
EU;HEA700;HE 700A;
EU;HEA800;HE 800A;
EU;HEA900;HE 900A;
EU;HEA1000;HE 1000A;
#;;;
#;;;
#;;;
#;;;
#;;;
#;;;
#;;;
#;name;;
#;;;
EU;HEB100;HE 100B;
EU;HEB120;HE 120B;
EU;HEB140;HE 140B;
EU;HEB160;HE 160B;
EU;HEB180;HE 180B;
EU;HEB200;HE 200B;
EU;HEB220;HE 220B;
EU;HEB240;HE 240B;
EU;HEB260;HE 260B;
EU;HEB280;HE 280B;
EU;HEB300;HE 300B;
EU;HEB320;HE 320B;
EU;HEB340;HE 340B;
EU;HEB360;HE 360B;
EU;HEB400;HE 400B;
EU;HEB450;HE 450B;
EU;HEB500;HE 500B;
EU;HEB550;HE 550B;
EU;HEB600;HE 600B;
EU;HEB650;HE 650B;
EU;HEB700;HE 700B;
EU;HEB800;HE 800B;
EU;HEB900;HE 900B;
EU;HEB1000;HE 1000B;
#;;;
#;;;
#;;;
#;;;
#;;;
#;;;
#;;;
#;name;;
#;;;
EU;HEM100;HE 100M;
EU;HEM120;HE 120M;
EU;HEM140;HE 140M;
EU;HEM160;HE 160M;
EU;HEM180;HE 180M;
EU;HEM200;HE 200M;
EU;HEM220;HE 220M;
EU;HEM240;HE 240M;
EU;HEM260;HE 260M;
EU;HEM280;HE 280M;
EU;HEM300;HE 300M;
EU;HEM320;HE 320M;
EU;HEM340;HE 340M;
EU;HEM360;HE 360M;
EU;HEM400;HE 400M;
EU;HEM450;HE 450M;
EU;HEM500;HE 500M;
EU;HEM550;HE 550M;
EU;HEM600;HE 600M;
EU;HEM650;HE 650M;
EU;HEM700;HE 700M;
EU;HEM800;HE 800M;
EU;HEM900;HE 900M;
EU;HEM1000;HE 1000M;
#;;;
#;;;
#;;;
#;;;
#;;;
#;;;
#;;;
#;name;;
#;;;
EU;HL 1000 AA;HL 1000 AA;
EU;HL 1000 A;HL 1000 A;
EU;HL 1100 A;HL 1100 A;
EU;HL 920 x 344;HL 920x344;
EU;HL 920 x 368;HL 920x368;
EU;HL 1000 B;HL 1000 B;
EU;HL 920 x 390;HL 920x390;
EU;HL 1100 B;HL 1100 B;
EU;HL 1000 M;HL 1000 M;
EU;HL 920 x 420;HL 920x420;
EU;HL 1100 M;HL 1100 M;
EU;HL 1000 x 443;HL 1000x443;
EU;HL 920 x 449;HL 920x449;
EU;HL 1000 x 483;HL 1000x483;
EU;HL 920 x 491;HL 920x491;
EU;HL 1100 R;HL 1100 R;
EU;HL 920 x 537;HL 920x537;
EU;HL 1000 x 539;HL 1000x539;
EU;HL 1000 x 554;HL 1000x554;
EU;HL 920 x 588;HL 920x588;
EU;HL 1000 x 591;HL 1000x591;
EU;HL 1000 x 642;HL 1000x642;
EU;HL 920 x 656;HL 920x656;
EU;HL 920 x 725;HL 920x725;
EU;HL 1000 x 748;HL 1000x748;
EU;HL 920 x 787;HL 920x787;
EU;HL 1000 x 883;HL 1000x883;
EU;HL 920 x 970;HL 920x970;
EU;HL 1000 x 976;HL 1000x976;
EU;HL 920 x 1077;HL 920x1077;
EU;HL 920 x 1194;HL 920x1194;
EU;HL 920 x 1269;HL 920x1269;
EU;HL 920 x 1377;HL 920x1377;
#;;;
#;;;
#;;;
#;;;
#;;;
#;;;
#;;;
#;name;;
#;;;
EU;HD 260 x 54;HHD 260x54 | ASTM A 6/A 6M | SZS;
EU;HD 260 x 68;HHD 260x68 | ASTM A 6/A 6M | SZS;
EU;HD 320 x 74;HHD 320x74 | ASTM A 6/A 6M | SZS;
EU;HD 260 x 93;HHD 260x93 | ASTM A 6/A 6M | SZS;
EU;HD 320 x 97;HHD 320x97 | ASTM A 6/A 6M | SZS;
EU;HD 260 x 114;HHD 260x114 | ASTM A 6/A 6M | SZS;
EU;HD 320 x 127;HHD 320x127 | ASTM A 6/A 6M | SZS;
EU;HD 360 x 134;HHD 360x134 | ASTM A 6/A 6M | SZS;
EU;HD 260 x 142;HHD 260x142 | ASTM A 6/A 6M | SZS;
EU;HD 360 x 147;HHD 360x147 | ASTM A 6/A 6M | SZS;
EU;HD 320 x 158;HHD 320x158 | ASTM A 6/A 6M | SZS;
EU;HD 360 x 162;HHD 360x162 | ASTM A 6/A 6M | SZS;
EU;HD 260 x 172;HHD 260x172 | ASTM A 6/A 6M | SZS;
EU;HD 360 x 179;HHD 360x179 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 187;HHD 400x187 | ASTM A 6/A 6M | SZS;
EU;HD 360 x 196;HHD 360x196 | ASTM A 6/A 6M | SZS;
EU;HD 320 x 198;HHD 320x198 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 216;HHD 400x216 | ASTM A 6/A 6M | SZS;
EU;HD 260 x 225;HHD 260x225 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 237;HHD 400x237 | ASTM A 6/A 6M | SZS;
EU;HD 320 x 245;HHD 320x245 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 262;HHD 400x262 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 287;HHD 400x287 | ASTM A 6/A 6M | SZS;
EU;HD 260 x 299;HHD 260x299 | ASTM A 6/A 6M | SZS;
EU;HD 320 x 300;HHD 320x300 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 314;HHD 400x314 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 347;HHD 400x347 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 382;HHD 400x382 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 421;HHD 400x421 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 463;HHD 400x463 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 509;HHD 400x509 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 551;HHD 400x551 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 592;HHD 400x592 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 634;HHD 400x634 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 677;HHD 400x677 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 744;HHD 400x744 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 818;HHD 400x818 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 900;HHD 400x900 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 990;HHD 400x990 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 1086;HHD 400x1086 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 1202;HHD 400x1202 | ASTM A 6/A 6M | SZS;
EU;HD 400 x 1299;HHD 400x1299 | ASTM A 6/A 6M | SZS;
#;;;
#;;;
#;;;
#;;;
#;;;
#;;;
#;;;
#;name;;
#;;;
EU;HP 200 x 43;"HP 200x43 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 200 x 53;"HP 200x53 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 220 x 57;"HP 220x57 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 260 x 75;"HP 260x75 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 305 x 79;"HP 305x79 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 260 x 87;"HP 260x87 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 305 x 88;"HP 305x88 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 320 x 88;"HP 320x88 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 305 x 95;"HP 305x95 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 320 x 103;"HP 320x103 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 360 x 109;"HP 360x109 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 305 x 110;"HP 305x110 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 320 x 117;"HP 320x117 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 400 x 122;"HP 400x122 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 305 x 126;"HP 305x126 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 360 x 133;"HP 360x133 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 400 x 140;"HP 400x140 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 320 x 147;"HP 320x147 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 305 x 149;"HP 305x149 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 360 x 152;"HP 360x152 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 400 x 158;"HP 400x158 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 360 x 174;"HP 360x174 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 400 x 176;"HP 400x176 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 305 x 180;"HP 305x180 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 360 x 180;"HP 360x180 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 320 x 184;"HP 320x184 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 305 x 186;"HP 305x186 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 400 x 194;"HP 400x194 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 400 x 213;"HP 400x213 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 305 x 223;"HP 305x223 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
EU;HP 400 x 231;"HP 400x231 | DIN EN 16828:2015-04; BS 4-1:2005 | --";
#;;;
#;;;
#;;;
#;;;
#;;;
#;;;
#;;;
#;name;;
#;;;
UK;UB 127 x 76 x 13;UB 127x76x13;
UK;UB 152 x 89 x 16;UB 152x89x16;
UK;UB 178 x 102 x 19;UB 178x102x19;
UK;UB 254 x 102 x 22;UB 254x102x22;
UK;UB 203 x 102 x 23;UB 203x102x23;
UK;UB 305 x 102 x 25;UB 305x102x25;
UK;UB 203 x 133 x 25;UB 203x133x25;
UK;UB 254 x 102 x 25;UB 254x102x25;
UK;UB 305 x 102 x 28;UB 305x102x28;
UK;UB 254 x 102 x 28;UB 254x102x28;
UK;UB 203 x 133 x 30;UB 203x133x30;
UK;UB 254 x 146 x 31;UB 254x146x31;
UK;UB 305 x 102 x 33;UB 305x102x33;
UK;UB 356 x 127 x 33;UB 356x127x33;
UK;UB 254 x 146 x 37;UB 254x146x37;
UK;UB 305 x 127 x 37;UB 305x127x37;
UK;UB 406 x 140 x 39;UB 406x140x39;
UK;UB 356 x 127 x 39;UB 356x127x39;
UK;UB 305 x 165 x 40;UB 305x165x40;
UK;UB 305 x 127 x 42;UB 305x127x42;
UK;UB 254 x 146 x 43;UB 254x146x43;
UK;UB 356 x 171 x 45;UB 356x171x45;
UK;UB 406 x 140 x 46;UB 406x140x46;
UK;UB 305 x 165 x 46;UB 305x165x46;
UK;UB 305 x 127 x 48;UB 305x127x48;
UK;UB 356 x 171 x 51;UB 356x171x51;
UK;UB 457 x 152 x 52;UB 457x152x52;
UK;UB 305 x 165 x 54;UB 305x165x54;
