#;;;;;E;G_in-plane;G_transverse;gamma;alphaT;ft;fc;FlowHypothesis;color
#;family;name;country;type;[kN/cm2];[kN/cm2];[kN/cm2];[kN/m3];[m/(mC?)];[kN/cm2];[kN/cm2];;
;Steel;Steel;EU;iso;21000;8076;8076;78.5;1.20E-005;23.5;-23.5;MISES;Blue
;Steel;S235;EU;iso;21000;8076;8076;78.5;1.20E-005;23.5;-23.5;MISES;Blue
;Steel;S275;EU;iso;21000;8076;8076;78.5;1.20E-005;27.5;-27.5;MISES;Blue
;Steel;S355;EU;iso;21000;8076;8076;78.5;1.20E-005;36;-36;MISES;Blue
;Steel;St37-2;EU;iso;21000;8076;8076;78.5;1.20E-005;24;-24;MISES;Blue
#;;;;;;;;;;;;;
;Steel;A36;US;iso;19994.8;7722.13;7722.13;78.49;1.20E-005;22.06;-22.06;MISES;Blue
;Steel;A529;US;iso;19994.8;7722.13;7722.13;78.49;1.20E-005;34.47;-34.47;MISES;Blue
;Steel;A441G1;US;iso;19994.8;7722.13;7722.13;78.49;1.20E-005;34.47;-34.47;MISES;Blue
;Steel;A441G3;US;iso;19994.8;7722.13;7722.13;78.49;1.20E-005;31.71;-31.71;MISES;Blue
;Steel;A441G4;US;iso;19994.8;7722.13;7722.13;78.49;1.20E-005;28.95;-28.95;MISES;Blue
;Steel;A441;US;iso;19994.8;7722.13;7722.13;78.49;1.20E-005;27.57;-27.57;MISES;Blue
;Steel;A572Grade42;US;iso;19994.8;7722.13;7722.13;78.49;1.20E-005;28.95;-28.95;MISES;Blue
;Steel;A572Grade50;US;iso;19994.8;7722.13;7722.13;78.49;1.20E-005;34.47;-34.47;MISES;Blue
;Steel;A572Grade55;US;iso;19994.8;7722.13;7722.13;78.49;1.20E-005;37.92;-37.92;MISES;Blue
;Steel;A572Grade60;US;iso;19994.8;7722.13;7722.13;78.49;1.20E-005;41.36;-41.36;MISES;Blue
;Steel;A572Grade65;US;iso;19994.8;7722.13;7722.13;78.49;1.20E-005;44.81;-44.81;MISES;Blue
;Steel;A53GradeA;US;iso;19994.8;7722.13;7722.13;78.49;1.20E-005;20.68;-20.68;MISES;Blue
;Steel;A53GradeB;US;iso;19994.8;7722.13;7722.13;78.49;1.20E-005;24.13;-24.13;MISES;Blue
;Steel;A500GradeA(Rounds);US;iso;19994.8;7722.13;7722.13;78.49;1.20E-005;22.75;-22.75;MISES;Blue
;Steel;A500GradeB(Rounds);US;iso;19994.8;7722.13;7722.13;78.49;1.20E-005;28.96;-28.96;MISES;Blue
;Steel;A500GradeC(Rounds);US;iso;19994.8;7722.13;7722.13;78.49;1.20E-005;31.72;-31.72;MISES;Blue
;Steel;A500GradeD(Rounds);US;iso;19994.8;7722.13;7722.13;78.49;1.20E-005;24.82;-24.82;MISES;Blue
;Steel;A500GradeA(Shapes);US;iso;19994.8;7722.13;7722.13;78.49;1.20E-005;26.89;-26.89;MISES;Blue
;Steel;A500GradeB(Shapes);US;iso;19994.8;7722.13;7722.13;78.49;1.20E-005;31.71;-31.71;MISES;Blue
;Steel;A500GradeC(Shapes);US;iso;19994.8;7722.13;7722.13;78.49;1.20E-005;34.47;-34.47;MISES;Blue
;Steel;A500GradeD(Shapes);US;iso;19994.8;7722.13;7722.13;78.49;1.20E-005;24.82;-24.82;MISES;Blue
;Steel;A501;US;iso;19994.8;7722.13;7722.13;78.49;1.20E-005;24.82;-24.82;MISES;Blue
#;;;;;;;;;;;;;
;Steel;SM490A;Japan;iso;20500;7900;7900;77;1.20E-005;32.5;-32.5;MISES;Blue
;Steel;SM490B;Japan;iso;20500;7900;7900;77;1.20E-005;32.5;-32.5;MISES;Blue
;Steel;SM490C;Japan;iso;20500;7900;7900;77;1.20E-005;32.5;-32.5;MISES;Blue
;Steel;SM490YA;Japan;iso;20500;7900;7900;77;1.20E-005;36.5;-36.5;MISES;Blue
;Steel;SM490YB;Japan;iso;20500;7900;7900;77;1.20E-005;36.5;-36.5;MISES;Blue
;Steel;SM520B;Japan;iso;20500;7900;7900;77;1.20E-005;36.5;-36.5;MISES;Blue
;Steel;SM520C;Japan;iso;20500;7900;7900;77;1.20E-005;36.5;-36.5;MISES;Blue
;Steel;SM570;Japan;iso;20500;7900;7900;77;1.20E-005;46;-46;MISES;Blue
;Steel;SMA490BW;Japan;iso;20500;7900;7900;77;1.20E-005;36.5;-36.5;MISES;Blue
;Steel;SMA490BP;Japan;iso;20500;7900;7900;77;1.20E-005;36.5;-36.5;MISES;Blue
;Steel;SMA490CW;Japan;iso;20500;7900;7900;77;1.20E-005;36.5;-36.5;MISES;Blue
;Steel;SMA490CP;Japan;iso;20500;7900;7900;77;1.20E-005;36.5;-36.5;MISES;Blue
;Steel;SMA570W;Japan;iso;20500;7900;7900;77;1.20E-005;46;-46;MISES;Blue
;Steel;SN400B;Japan;iso;20500;7900;7900;77;1.20E-005;23.5;-23.5;MISES;Blue
;Steel;SN400C;Japan;iso;20500;7900;7900;77;1.20E-005;23.5;-23.5;MISES;Blue
;Steel;SN490B;Japan;iso;20500;7900;7900;77;1.20E-005;32.5;-32.5;MISES;Blue
;Steel;SN490C;Japan;iso;20500;7900;7900;77;1.20E-005;32.5;-32.5;MISES;Blue
;Steel;SSC400;Japan;iso;20500;7900;7900;77;1.20E-005;24.5;-24.5;MISES;Blue
#;;;;;;;;;;;;;
;Steel;Q235;China;iso;20600;8076;8076;78.5;1.20E-005;23.5;-23.5;MISES;Blue
;Steel;Q275;China;iso;20600;8076;8076;78.5;1.20E-005;27.5;-27.5;MISES;Blue
;Steel;Q295;China;iso;20600;8076;8076;78.5;1.20E-005;29.5;-29.5;MISES;Blue
;Steel;Q345;China;iso;20600;8076;8076;78.5;1.20E-005;34.5;-34.5;MISES;Blue
;Steel;Q355;China;iso;20600;8076;8076;78.5;1.20E-005;35.5;-35.5;MISES;Blue
;Steel;Q390;China;iso;20600;8076;8076;78.5;1.20E-005;39;-39;MISES;Blue
;Steel;Q420;China;iso;20600;8076;8076;78.5;1.20E-005;42;-42;MISES;Blue
;Steel;Q460;China;iso;20600;8076;8076;78.5;1.20E-005;46;-46;MISES;Blue
#;;;;;;;;;;;;;
;Steel;3678-250-L15;Australia;iso;20600;8076;8076;78.5;1.20E-005;25;-25;MISES;Blue
;Steel;3678-300-L15;Australia;iso;20600;8076;8076;78.5;1.20E-005;30;-30;MISES;Blue
;Steel;3678-350-L15;Australia;iso;20600;8076;8076;78.5;1.20E-005;35;-35;MISES;Blue
;Steel;3678-400-L15;Australia;iso;20600;8076;8076;78.5;1.20E-005;40;-40;MISES;Blue
;Steel;3678-450-L15;Australia;iso;20600;8076;8076;78.5;1.20E-005;45;-45;MISES;Blue
;Steel;3679-250;Australia;iso;20600;8076;8076;78.5;1.20E-005;25;-25;MISES;Blue
;Steel;3679-350;Australia;iso;20600;8076;8076;78.5;1.20E-005;35;-35;MISES;Blue
;Steel;3679-400;Australia;iso;20600;8076;8076;78.5;1.20E-005;40;-40;MISES;Blue
;Steel;1163-C250;Australia;iso;20600;8076;8076;78.5;1.20E-005;25;-25;MISES;Blue
;Steel;1163-C275;Australia;iso;20600;8076;8076;78.5;1.20E-005;27.5;-27.5;MISES;Blue
;Steel;1163-C300;Australia;iso;20600;8076;8076;78.5;1.20E-005;30;-30;MISES;Blue
;Steel;1163-C350;Australia;iso;20600;8076;8076;78.5;1.20E-005;35;-35;MISES;Blue
;Steel;1163-C400;Australia;iso;20600;8076;8076;78.5;1.20E-005;40;-40;MISES;Blue
;Steel;1163-C450;Australia;iso;20600;8076;8076;78.5;1.20E-005;45;-45;MISES;Blue
;Steel;1397-G250;Australia;iso;20600;8076;8076;78.5;1.20E-005;25;-25;MISES;Blue
;Steel;1397-G300;Australia;iso;20600;8076;8076;78.5;1.20E-005;30;-30;MISES;Blue
;Steel;1397-G350;Australia;iso;20600;8076;8076;78.5;1.20E-005;35;-35;MISES;Blue
;Steel;1397-G450;Australia;iso;20600;8076;8076;78.5;1.20E-005;45;-45;MISES;Blue
;Steel;1397-G500;Australia;iso;20600;8076;8076;78.5;1.20E-005;50;-50;MISES;Blue
;Steel;1397-G550;Australia;iso;20600;8076;8076;78.5;1.20E-005;55;-55;MISES;Blue
;Steel;1595-C220;Australia;iso;20600;8076;8076;78.5;1.20E-005;21;-21;MISES;Blue
;Steel;1595-C260;Australia;iso;20600;8076;8076;78.5;1.20E-005;25;-25;MISES;Blue
;Steel;1595-C350;Australia;iso;20600;8076;8076;78.5;1.20E-005;35;-35;MISES;Blue
#;;;;;E;G_in-plane;G_transverse;gamma;alphaT;ft;fc;;
#;***;;;;;;;;;;;;
# ;For reinforcement bars nue=0 is assumed since the bars in different directions do not interact;;;;;;;;;;;;
#;***;;;;;;;;;;;;
#;family;name;country;type;[kN/cm2];[kN/cm2];[kN/cm2];[kN/m3];[m/(mC?)];[kN/cm2];[kN/cm2];;
;ReinfSteel;ReinfSteel;EU;iso;20000;10000;10000;78.5;1.00E-005;50;-50;MISES;LightBlue
;ReinfSteel;B500-EN;EU;iso;20000;10000;10000;78.5;1.00E-005;50;-50;MISES;LightBlue
;ReinfSteel;B550-EN;EU;iso;20000;10000;10000;78.5;1.00E-005;55;-55;MISES;LightBlue
;ReinfSteel;Grade40-ACI;US;iso;19993.8;9996.9;9996.9;78.5;1.00E-005;27.58;-27.58;MISES;LightBlue
;ReinfSteel;Grade50-ACI;US;iso;19993.8;9996.9;9996.9;78.5;1.00E-005;34.47;-34.47;MISES;LightBlue
;ReinfSteel;Grade60-ACI;US;iso;19993.8;9996.9;9996.9;78.5;1.00E-005;41.37;-41.37;MISES;LightBlue
;ReinfSteel;Grade75-ACI;US;iso;19993.8;9996.9;9996.9;78.5;1.00E-005;51.71;-51.71;MISES;LightBlue
;ReinfSteel;A500-NPEN;US;iso;20000;10000;10000;78.5;1.00E-005;50;-50;MISES;LightBlue
;ReinfSteel;A400-NPEN;US;iso;20000;10000;10000;78.5;1.00E-005;40;-40;MISES;LightBlue
;ReinfSteel;300R-CSA;Canada;iso;20000;10000;10000;78.5;1.00E-005;30;-30;MISES;LightBlue
;ReinfSteel;400R-CSA;Canada;iso;20000;10000;10000;78.5;1.00E-005;40;-40;MISES;LightBlue
;ReinfSteel;500R-CSA;Canada;iso;20000;10000;10000;78.5;1.00E-005;50;-50;MISES;LightBlue
;ReinfSteel;HRB500-GB/T;China;iso;20000;10000;10000;78.5;1.00E-005;50;-50;MISES;LightBlue
;ReinfSteel;HRB400-GB/T;China;iso;20000;10000;10000;78.5;1.00E-005;40;-40;MISES;LightBlue
;ReinfSteel;HRB335-GB/T;China;iso;20000;10000;10000;78.5;1.00E-005;33.5;-33.5;MISES;LightBlue
;ReinfSteel;HRB300-GB/T;China;iso;20000;10000;10000;78.5;1.00E-005;30;-30;MISES;LightBlue
;ReinfSteel;Bst500-OEN;Austria;iso;20000;10000;10000;78.5;1.00E-005;50;-50;MISES;LightBlue
#;;;;;;;;;;;;;
#;;;;;E;G_in-plane;G_transverse;gamma;alphaT;ft;fc;;color
#;family;name;;type;[kN/cm2];[kN/cm2];[kN/cm2];[kN/m3];[m/(mC?)];[kN/cm2];[kN/cm2];;[-]
#;"according to EN 1992-1-1; revision 2009-07-01:";;;;;;;;;;;;
;Concrete;Concrete;country;iso;3100;1291.67;1291.67;25;1.00E-005;1.67;-1.67;RANKINE;Gray
;Concrete;C12/15;EU;iso;2700;1125;1125;25;1.00E-005;0.8;-0.8;RANKINE;Gray
;Concrete;C16/20;EU;iso;2900;1208.33;1208.33;25;1.00E-005;1.07;-1.07;RANKINE;Gray
;Concrete;C20/25;EU;iso;3000;1250;1250;25;1.00E-005;1.33;-1.33;RANKINE;Gray
;Concrete;C25/30;EU;iso;3100;1291.67;1291.67;25;1.00E-005;1.67;-1.67;RANKINE;Gray
;Concrete;C30/37;EU;iso;3300;1375;1375;25;1.00E-005;2;-2;RANKINE;Gray
;Concrete;C35/45;EU;iso;3400;1416.67;1416.67;25;1.00E-005;2.33;-2.33;RANKINE;Gray
;Concrete;C40/50;EU;iso;3500;1458.33;1458.33;25;1.00E-005;2.67;-2.67;RANKINE;Gray
;Concrete;C45/55;EU;iso;3600;1500;1500;25;1.00E-005;3;-3;RANKINE;Gray
;Concrete;C50/60;EU;iso;3700;1541.67;1541.67;25;1.00E-005;3.33;-3.33;RANKINE;Gray
;Concrete;C55/67;EU;iso;3800;1583.33;1583.33;25;1.00E-005;3.67;-3.67;RANKINE;Gray
;Concrete;C60/75;EU;iso;3900;1625;1625;25;1.00E-005;4;-4;RANKINE;Gray
;Concrete;C70/85;EU;iso;4100;1708.33;1708.33;25;1.00E-005;4.67;-4.67;RANKINE;Gray
;Concrete;C80/95;EU;iso;4200;1750;1750;25;1.00E-005;5.33;-5.33;RANKINE;Gray
;Concrete;C90/105;EU;iso;4400;1833.33;1833.33;25;1.00E-005;6;-6;RANKINE;Gray
#;;;;;;;;;;;;;
#;;;;;E;G_in-plane;G_transverse;gamma;alphaT;ft;fc;;
#;family;name;country;type;[kN/cm2];[kN/cm2];[kN/cm2];[kN/m3];[m/(mC?)];[kN/cm2];[kN/cm2];;
;Wood;Wood;EU;iso;1050;360;360;6;5.00E-005;1.3;-1.3;RANKINE;Brown
;Wood;(VH)I;EU;iso;1050;360;360;6;5.00E-005;1.3;-1.3;RANKINE;Brown
;Wood;(VH)II;EU;iso;1000;335;335;6;5.00E-005;1;-1;RANKINE;Brown
;Wood;(VH)III;EU;iso;800;270;270;6;5.00E-005;0.7;-0.7;RANKINE;Brown
#;;;;;;;;;;;;;
#;;;;;E;G_in-plane;G_transverse;gamma;alphaT;ft;fc;;
#;family;name;country;type;[kN/cm2];[kN/cm2];[kN/cm2];[kN/m3];[m/(mC?)];[kN/cm2];[kN/cm2];;
;Aluminum;Aluminum;EU;iso;7000;2700;2700;27;2.40E-005;11;-11;MISES;Silver
;Aluminum;ENAW-3103H14;EU;iso;7000;2700;2700;27;2.40E-005;12;-12;MISES;Silver
;Aluminum;ENAW-6061T4/T451;EU;iso;7000;2700;2700;27;2.40E-005;11;-11;MISES;Silver
;Aluminum;ENAW-6061T6/T651;EU;iso;7000;2700;2700;27;2.40E-005;24;-24;MISES;Silver
;Aluminum;ENAW-6082(ER/B)T6;EU;iso;7000;2700;2700;27;2.40E-005;25;-25;MISES;Silver
#;;;;;;;;;;;;;
#;;;;;E;G_in-plane;G_transverse;gamma;alphaT;ft;fc;;
#;family;name;country;type;[kN/cm2];[kN/cm2];[kN/cm2];[kN/m3];[m/(mC?E?)];[kN/cm2];[kN/cm2];;[-]
;Concrete;Fc18;Japan;iso;2059.6104209863;858.1710087443;858.1710087443;24;1.00E-005;0;-1.8;RANKINE;Gray
;Concrete;Fc21;Japan;iso;2168.206675005;903.4194479188;903.4194479188;24;1.00E-005;0;-2.1;RANKINE;Gray
;Concrete;Fc24;Japan;iso;2266.8945903874;944.5394126614;944.5394126614;24;1.00E-005;0;-2.4;RANKINE;Gray
;Concrete;Fc27;Japan;iso;2357.6653830143;982.360576256;982.360576256;24;1.00E-005;0;-2.7;RANKINE;Gray
;Concrete;Fc30;Japan;iso;2441.9381720881;1017.47423837;1017.47423837;24;1.00E-005;0;-3;RANKINE;Gray
;Concrete;Fc33;Japan;iso;2520.7642182204;1050.3184242585;1050.3184242585;24;1.00E-005;0;-3.3;RANKINE;Gray
;Concrete;Fc36;Japan;iso;2594.9465239835;1081.2277183265;1081.2277183265;24;1.00E-005;0;-3.6;RANKINE;Gray
;Concrete;Fc42;Japan;iso;2851.832811847;1188.2636716029;1188.2636716029;24.5;1.00E-005;0;-4.2;RANKINE;Gray
;Concrete;Fc48;Japan;iso;2981.636597835;1242.3485824313;1242.3485824313;24.5;1.00E-005;0;-4.8;RANKINE;Gray
;Concrete;Fc54;Japan;iso;3234.3894384289;1347.662266012;1347.662266012;25;1.00E-005;0;-5.4;RANKINE;Gray
;Concrete;Fc60;Japan;iso;3350;1395.8333333333;1395.8333333333;25;1.00E-005;0;-6;RANKINE;Gray
;Concrete;Fc80;Japan;iso;3842.3837583039;1600.9932326266;1600.9932326266;25.5;1.00E-005;0;-8;RANKINE;Gray
;Concrete;Fc100;Japan;iso;4139.0824306525;1724.6176794386;1724.6176794386;25.5;1.00E-005;0;-10;RANKINE;Gray
;Concrete;Fc120;Japan;iso;4398.4314134861;1832.6797556192;1832.6797556192;25.5;1.00E-005;0;-12;RANKINE;Gray
